  PID TTY           TIME CMD
 1337 ??         0:07.90 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
 1339 ??         0:00.17 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
 1345 ??         0:07.87 /System/Library/CoreServices/TextInputSwitcher.app/Contents/MacOS/TextInputSwitcher
 1347 ??        21:58.39 /usr/local/Cellar/erlang/23.3.3/lib/erlang/erts-11.2.1/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -B i -- -root /usr/local/Cellar/erlang/23.3.3/lib/erlang -progname erl -- -home /Users/out-egorov-id -- -pa  -noshell -noinput -s rabbit boot -boot /usr/local/opt/erlang/lib/erlang/bin/start_clean -lager crash_log false -lager handlers []
 1362 ??         2:02.04 erl_child_setup 256
 1369 ??         0:00.09 postgres: checkpointer   
 1370 ??         0:02.17 postgres: background writer   
 1371 ??         0:02.18 postgres: walwriter   
 1372 ??         0:01.60 postgres: autovacuum launcher   
 1373 ??         0:02.59 postgres: stats collector   
 1374 ??         0:00.13 postgres: logical replication launcher   
 1394 ??         3:53.95 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
 1407 ??         0:00.85 /usr/libexec/keyboardservicesd
 1409 ??         0:06.11 /usr/libexec/swcd
 1417 ??         0:00.36 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
 1423 ??         0:00.11 /usr/libexec/spindump_agent
 1446 ??         0:02.38 /usr/local/Cellar/erlang/23.3.3/lib/erlang/erts-11.2.1/bin/epmd -daemon
 1454 ??         0:00.23 inet_gethost 4
 1455 ??         0:00.68 inet_gethost 4
 1457 ??         0:03.45 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/SoftwareUpdateNotificationManager.app/Contents/MacOS/SoftwareUpdateNotificationManager
 1465 ??         0:33.19 /System/Library/CoreServices/ReportCrash agent
 1467 ??         0:03.54 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/SpeechSynthesis.framework/Resources/com.apple.speech.speechsynthesisd
 1488 ??         0:26.14 /System/Library/CoreServices/LocationMenu.app/Contents/MacOS/LocationMenu
 2314 ??         0:25.52 /System/Library/CoreServices/Siri.app/Contents/XPCServices/SiriNCService.xpc/Contents/MacOS/SiriNCService
 2600 ??         0:00.41 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
 3146 ??         0:14.61 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
